Time,Dropped Frames
00:00,0
00:01,0
00:02,0
00:03,0
00:04,0
00:05,0
00:06,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:07,0
00:08,1
00:09,1
00:10,1
00:11,1
00:12,1
00:13,1
00:14,1
00:15,1
00:15,1
00:15,1
00:15,1
00:16,2
00:17,2
00:18,2
00:19,2
00:20,2
00:21,2
00:22,2
00:23,2
00:24,2
00:25,2
00:26,2
00:27,2
00:28,2
00:29,2
00:30,2
00:31,2
00:32,2
00:33,2
00:34,2
00:35,2
00:36,2
00:37,2
00:38,2
00:39,2
00:40,2
00:41,2
00:42,2
00:43,2
00:44,2
00:45,2
00:46,2
00:47,2
00:48,2
00:49,2
00:50,2
00:51,2
00:52,2
00:53,2
00:54,2
00:55,2
00:56,2
00:57,2
00:58,2
00:59,2
01:00,2
01:01,2
01:02,2
01:03,2
01:04,2
01:05,2
01:06,2
01:07,2
01:08,2
01:09,2
01:10,2
01:11,2
01:12,2
01:13,2
01:14,2
01:15,2
01:16,2
01:17,2
01:18,2
01:19,2
01:20,2
01:21,2
01:22,2
01:23,2
01:24,2
01:25,2
01:26,2
01:27,2
01:28,2
01:29,2
01:30,2
01:31,2
01:32,2
01:33,2
01:34,2
01:35,2
01:36,2
01:37,2
01:38,2
01:39,2
01:40,2
01:41,2
01:42,2
01:43,2
01:44,5
01:45,5
01:46,5
01:47,5
01:48,5
01:49,5
01:50,5
01:51,5
01:51,5
01:52,5
01:53,6
01:54,6
01:55,6
01:56,6
01:57,6
01:58,6
01:59,6
02:00,6
02:01,6
02:02,6
02:03,6
02:04,6
02:05,6
02:06,6
02:07,6
02:08,6
02:09,6
02:10,6
02:11,6
02:12,6
02:13,6
02:14,6
02:15,6
02:16,6
02:17,6
02:18,6
02:19,6
02:20,6
02:21,6
02:22,6
02:23,6
02:24,6
02:25,6
02:26,6
02:27,6
02:28,6
02:29,6
02:30,6
02:31,6
02:32,6
02:33,6
02:34,6
02:35,16
02:36,16
02:37,19
02:38,19
02:39,19
02:40,19
02:41,19
02:42,19
02:43,19
02:44,19
02:45,19
02:46,19
02:47,19
02:48,19
02:49,19
02:50,19
02:51,19
02:52,19
02:53,19
02:54,19
02:55,19
02:56,19
02:57,19
02:58,19
02:59,19
03:00,19
03:01,19
03:02,19
03:03,19
03:04,19
03:05,19
03:06,19
03:07,19
03:08,19
03:09,19
03:10,19
03:11,19
03:12,19
03:13,19
03:14,19
03:15,19
03:16,19
03:17,19
03:18,19
03:19,19
03:20,19
03:21,19
03:22,19
03:23,19
03:24,19
03:25,19
03:26,19
03:27,19
03:28,19
03:29,19
03:30,19
03:31,19
03:32,19
03:33,19
03:34,19
03:35,19
03:36,19
03:37,19
03:38,19
03:39,19
03:40,19
03:41,19
03:42,19
03:43,19
03:44,19
03:45,19
03:46,19
03:47,19
03:48,19
03:49,19
03:50,19
03:51,19
03:52,19
03:53,19
03:54,19
03:55,19
03:56,19
03:57,19
03:58,19
03:59,19
04:00,19
04:01,19
04:02,19
04:03,19
04:04,19
04:05,19
04:06,19
04:07,19
04:08,19
04:09,19
04:10,19
04:11,19
04:12,19
04:13,19
04:14,19
04:15,19
04:16,19
04:17,19
04:18,19
04:19,19
04:20,19
04:21,19
04:22,19
04:23,19
04:24,19
04:25,19
04:26,19
04:27,19
04:28,19
04:29,19
04:30,19
04:31,19
04:32,19
04:33,19
04:34,19
04:35,19
04:36,19
04:37,19
04:38,19
04:39,19
04:40,19
04:41,19
04:42,19
04:43,19
04:44,19
04:45,206
04:46,206
04:47,206
04:48,206
04:49,206
04:50,206
04:51,206
04:52,206
04:53,206
04:54,206
04:55,206
04:56,225
04:57,225
04:58,225
04:59,225
