Time,Dropped Frames
00:00,0
00:01,0
00:02,0
00:03,0
00:04,0
00:05,0
00:06,0
00:07,0
00:08,0
00:09,0
00:10,0
00:11,0
00:12,0
00:13,0
00:14,0
00:15,0
00:16,0
00:17,0
00:18,0
00:19,0
00:20,0
00:21,0
00:22,0
00:23,0
00:24,0
00:25,0
00:26,0
00:27,0
00:28,0
00:29,0
00:30,0
00:31,0
00:32,0
00:33,0
00:34,0
00:35,0
00:36,0
00:37,0
00:38,0
00:39,0
00:40,0
00:41,0
00:42,0
00:43,0
00:44,0
00:45,0
00:46,0
00:47,0
00:48,0
00:49,0
00:50,0
00:51,0
00:52,0
00:53,0
00:54,0
00:55,0
00:56,0
00:57,0
00:58,0
00:59,0
01:00,0
01:01,0
01:02,0
01:03,0
01:04,0
01:05,0
01:06,0
01:07,0
01:08,0
01:09,0
01:10,0
01:11,0
01:12,0
01:13,0
01:14,0
01:15,0
01:16,0
01:17,0
01:18,0
01:19,0
01:20,0
01:21,0
01:22,0
01:23,0
01:24,0
01:25,0
01:26,0
01:27,0
01:28,0
01:29,0
01:30,0
01:31,0
01:32,0
01:33,0
01:34,0
01:35,0
01:36,0
01:37,0
01:38,0
01:39,0
01:40,0
01:41,0
01:42,0
01:43,0
01:44,0
01:45,0
01:46,0
01:47,0
01:48,0
01:49,0
01:50,0
01:51,0
01:52,0
01:53,0
01:54,0
01:55,0
01:56,0
01:57,0
01:58,0
01:59,0
02:00,0
02:01,0
02:02,0
02:03,0
02:04,0
02:05,0
02:06,20
02:07,20
02:08,27
02:09,27
02:10,27
02:11,27
02:12,31
02:13,31
02:14,31
02:15,31
02:16,31
02:17,31
02:18,31
02:19,31
02:20,31
02:21,31
02:22,31
02:23,31
02:24,31
02:25,31
02:26,31
02:27,31
02:28,31
02:29,31
02:30,31
02:31,31
02:32,71
02:33,71
02:34,71
02:35,71
02:36,81
02:37,81
02:38,81
02:39,81
02:40,81
02:41,81
02:42,81
02:43,81
02:44,81
02:45,81
02:46,81
02:47,81
02:48,102
02:49,102
02:50,102
02:51,102
02:52,114
02:53,114
02:54,114
02:55,114
02:56,114
02:57,114
02:58,114
02:59,114
03:00,114
03:01,114
03:02,114
03:03,114
03:04,146
03:05,146
03:06,146
03:07,146
03:08,146
03:09,146
03:10,146
03:11,146
03:12,146
03:13,146
03:14,146
03:15,146
03:16,146
03:17,146
03:18,146
03:19,146
03:20,146
03:21,146
03:22,146
03:23,146
03:24,146
03:25,146
03:26,146
03:27,146
03:28,146
03:29,146
03:30,146
03:31,146
03:32,197
03:33,197
03:34,197
03:35,197
03:36,197
03:37,197
03:38,197
03:39,197
03:40,197
03:41,197
03:42,197
03:43,197
03:44,225
03:45,225
03:46,225
03:47,225
03:48,240
03:49,240
03:50,240
03:51,240
03:52,251
03:53,251
03:54,251
03:55,251
03:56,251
03:57,251
03:58,251
03:59,251
04:00,251
04:01,251
04:02,251
04:03,251
04:04,251
04:05,251
04:06,251
04:07,251
04:08,251
04:09,251
04:10,251
04:11,251
04:12,319
04:13,319
04:14,319
04:15,319
04:16,319
04:17,319
04:18,319
04:19,319
04:20,360
04:21,360
04:22,360
04:23,360
04:24,360
04:25,360
04:26,360
04:27,360
04:28,360
04:29,360
04:30,360
04:31,360
04:32,360
04:33,360
04:34,360
04:35,360
04:36,360
04:37,360
04:38,360
04:39,360
04:40,360
04:41,360
04:42,360
04:43,360
04:44,360
04:45,360
04:46,360
04:47,360
04:48,360
04:49,360
04:50,360
04:51,360
04:52,360
04:53,360
04:54,360
04:55,360
04:56,360
04:57,360
04:58,360
04:59,360
