Time,Dropped Frames
00:01,0
00:02,0
00:03,0
00:04,0
00:05,0
00:06,0
00:07,0
00:08,0
00:09,0
00:10,0
00:11,0
00:12,0
00:13,0
00:14,0
00:15,0
00:16,0
00:17,1
00:18,1
00:19,1
00:20,1
00:21,1
00:22,1
00:23,1
00:24,1
00:25,1
00:26,1
00:27,1
00:28,1
00:29,1
00:30,1
00:31,1
00:32,1
00:33,1
00:34,1
00:35,1
00:36,1
00:37,1
00:38,1
00:39,1
00:40,1
00:41,1
00:42,1
00:43,1
00:44,1
00:45,1
00:46,1
00:47,1
00:48,1
00:49,1
00:50,1
00:51,1
00:52,1
00:53,1
00:54,1
00:55,1
00:56,1
00:57,1
00:58,1
00:59,1
01:00,1
01:01,1
01:02,1
01:03,1
01:04,1
01:05,1
01:06,1
01:07,1
01:08,1
01:09,1
01:10,1
01:11,1
01:12,1
01:13,1
01:14,1
01:15,1
01:16,1
01:17,1
01:18,1
01:19,1
01:20,1
01:21,1
01:22,1
01:23,1
01:24,1
01:25,2
01:26,2
01:27,2
01:28,2
01:29,2
01:30,2
01:31,2
01:32,2
01:33,4
01:34,4
01:35,4
01:36,4
01:37,4
01:38,4
01:39,4
01:40,4
01:41,4
01:42,4
01:43,4
01:44,4
01:45,4
01:46,4
01:47,4
01:48,4
01:49,4
01:50,4
01:51,4
01:52,4
01:53,4
01:54,4
01:55,4
01:56,4
01:57,4
01:58,4
01:59,4
02:00,4
02:01,4
02:02,4
02:03,4
02:04,4
02:05,4
02:06,4
02:07,4
02:08,4
02:09,4
02:10,4
02:11,4
02:12,4
02:13,4
02:14,4
02:15,4
02:16,4
02:17,4
02:18,4
02:19,4
02:20,4
02:21,4
02:22,4
02:23,4
02:24,4
02:25,4
02:26,4
02:27,4
02:28,4
02:29,4
02:30,4
02:31,4
02:32,4
02:33,4
02:34,4
02:35,4
02:36,4
02:37,4
02:38,4
02:39,4
02:40,4
02:41,4
02:42,4
02:43,4
02:44,4
02:45,4
02:46,4
02:47,4
02:48,4
02:49,4
02:50,4
02:51,4
02:52,4
02:53,4
02:54,4
02:55,4
02:56,4
02:57,4
02:58,4
02:59,4
03:00,4
03:01,4
03:02,4
03:03,4
03:04,4
03:05,4
03:06,4
03:07,4
03:08,4
03:09,4
03:10,4
03:11,4
03:12,4
03:13,4
03:14,4
03:15,4
03:16,4
03:17,4
03:18,4
03:19,4
03:20,4
03:21,4
03:22,4
03:23,4
03:24,4
03:25,4
03:26,4
03:27,4
03:28,4
03:29,4
03:30,4
03:31,4
03:32,4
03:33,4
03:34,4
03:35,4
03:36,4
03:37,4
03:38,4
03:39,4
03:40,4
03:41,4
03:42,4
03:43,4
03:44,4
03:45,4
03:46,4
03:47,4
03:48,4
03:49,4
03:50,4
03:51,4
03:52,4
03:53,4
03:54,4
03:55,4
03:56,4
03:57,4
03:58,4
03:59,4
04:00,4
04:01,4
04:02,4
04:03,4
04:04,4
04:05,4
04:06,4
04:07,4
04:08,4
04:09,4
04:10,4
04:11,4
04:12,4
04:13,4
04:14,4
04:15,4
04:16,4
04:17,4
04:18,4
04:19,4
04:20,4
04:21,4
04:22,4
04:23,4
04:24,4
04:25,4
04:26,4
04:27,4
04:28,4
04:29,4
04:30,4
04:31,4
04:32,4
04:33,4
04:34,4
04:35,4
04:36,4
04:37,4
04:38,4
04:39,4
04:40,4
04:41,4
04:42,4
04:43,4
04:44,4
04:45,4
04:46,4
04:47,4
04:48,4
04:49,4
04:50,4
04:51,4
04:52,4
04:53,4
04:54,4
04:55,4
04:56,4
04:57,4
04:58,4
04:59,4
